Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Keith Acton,29,TOT,C,72,11,17,28,-19,95,0.5,9,1,1,1,17,0,0,75,14.7,,,actonke01
1,Keith Acton,29,MNS,C,46,8,11,19,-9,74,0.7,7,0,1,0,11,0,0,49,16.3,,,actonke01
1,Keith Acton,29,EDM,C,26,3,6,9,-10,21,-0.2,2,1,0,1,6,0,0,26,11.5,,,actonke01
2,Greg Adams,24,VAN,C,80,36,40,76,-24,30,5.9,24,12,0,3,24,16,0,227,15.9,,,adamsgr02
3,Greg Adams,27,WSH,LW,78,15,12,27,-3,153,1.3,12,3,0,0,8,4,0,109,13.8,,,adamsgr01
4,Jim Agnew,21,VAN,D,10,0,1,1,1,16,0.4,0,0,0,0,1,0,0,4,0.0,,,agnewji01
5,Brad Aitken,20,PIT,LW,5,1,1,2,1,0,0.1,1,0,0,0,1,0,0,4,25.0,,,aitkebr01
6,Tommy Albelin,23,QUE,D,60,3,23,26,-7,47,3.7,3,0,0,0,10,13,0,98,3.1,,,albelto01
7,Mike Allison,26,TOT,C,52,16,15,31,3,67,2.2,10,5,1,2,10,5,0,61,26.2,,,allismi01
7,Mike Allison,26,LAK,C,37,16,12,28,3,57,2.4,10,5,1,2,7,5,0,54,29.6,,,allismi01
7,Mike Allison,26,TOR,LW,15,0,3,3,0,10,-0.2,0,0,0,0,3,0,0,7,0.0,,,allismi01
8,Glenn Anderson*,27,EDM,LW,80,38,50,88,5,58,6.9,21,16,1,3,35,15,0,255,14.9,,,andergl01
9,John Anderson,30,HAR,LW,63,17,32,49,-5,20,3.5,8,9,0,3,15,17,0,149,11.4,,,anderjo01
10,Perry Anderson,26,NJD,LW,60,4,6,10,-8,222,-0.7,3,1,0,0,6,0,0,40,10.0,,,anderpe01
11,Shawn Anderson,19,BUF,D,23,1,2,3,-3,17,0.7,0,1,0,0,1,1,0,29,3.4,,,andersh01
12,Mikael Andersson,21,BUF,LW,37,3,20,23,7,10,1.2,2,0,1,1,17,1,2,34,8.8,,,andermi01
13,Dave Andreychuk*,24,BUF,LW,80,30,48,78,1,112,5.9,15,15,0,5,34,14,0,253,11.9,,,andreda01
14,Dave Archibald,18,MNS,C,78,13,20,33,-17,26,1.1,10,3,0,2,14,6,0,96,13.5,,,archida01
15,Scott Arniel,25,BUF,LW,73,17,23,40,8,61,2.5,14,0,3,2,21,1,1,111,15.3,,,arniesc01
16,Brent Ashton,27,DET,LW,73,26,27,53,10,50,4.1,17,7,2,3,18,7,2,161,16.1,,,ashtobr01
17,Warren Babe,19,MNS,LW,6,0,1,1,-1,4,-0.1,0,0,0,0,1,0,0,2,0.0,,,babewa01
18,Dave Babych,26,HAR,D,71,14,36,50,-25,54,6.7,4,10,0,2,8,27,1,233,6.0,,,babycda01
19,Joel Baillargeon,23,WIN,LW,4,0,1,1,0,12,0.0,0,0,0,0,1,0,0,3,0.0,,,bailljo01
20,Peter Bakovic,23,VAN,RW,10,2,0,2,-1,48,0.0,2,0,0,0,0,0,0,7,28.6,,,bakovpe01
21,Dave Barr,27,DET,RW,51,14,26,40,20,58,3.2,10,3,1,0,21,4,1,64,21.9,,,barrda01
22,John Barrett,29,MNS,D,1,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,0,,,,barrejo01
23,Bob Bassen,22,NYI,C,77,6,16,22,8,99,0.2,5,1,0,2,15,1,0,65,9.2,,,bassebo01
24,Ken Baumgartner,21,LAK,D,30,2,3,5,5,189,1.4,2,0,0,0,3,0,0,17,11.8,,,baumgke01
25,Yves Beaudoin,23,WSH,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,,,beaudyv01
26,Bruce Bell,22,NYR,D,13,1,2,3,-10,8,0.2,1,0,0,1,0,2,0,12,8.3,,,bellbr01
27,Brian Bellows,23,MNS,LW,77,40,41,81,-8,81,6.9,18,21,1,4,24,16,1,283,14.1,,,bellobr01
28,Brian Benning,21,STL,D,77,8,29,37,-5,107,5.5,3,5,0,5,15,13,1,130,6.2,,,bennibr01
29,Jim Benning,24,VAN,D,77,7,26,33,0,58,5.3,5,1,1,1,13,12,1,102,6.9,,,benniji01
30,Paul Beraldo,20,BOS,RW,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,,,beralpa01
31,Perry Berezan,23,CGY,C,29,7,12,19,11,66,1.3,5,0,2,1,11,0,1,69,10.1,,,berezpe01
32,Mike Berger,20,MNS,D,29,3,1,4,-19,65,0.3,0,3,0,0,1,0,0,41,7.3,,,bergemi02
33,Marc Bergevin,22,CHI,D,58,1,6,7,-19,85,1.0,1,0,0,0,5,1,0,51,2.0,,,bergema01
34,Brad Berry,22,WIN,D,48,0,6,6,-11,75,1.4,0,0,0,0,5,0,1,31,0.0,,,berrybr01
35,Ken Berry,27,VAN,RW,14,2,3,5,-1,6,0.2,1,1,0,0,3,0,0,26,7.7,,,berryke01
36,Craig Berube,22,PHI,LW,27,3,2,5,1,108,-0.1,3,0,0,2,2,0,0,13,23.1,,,berubcr01
37,Jeff Beukeboom,22,EDM,D,73,5,20,25,27,201,4.7,4,1,0,1,13,6,1,76,6.6,,,beukeje01
38,Scott Bjugstad,26,MNS,LW,33,10,12,22,2,15,1.6,7,3,0,3,8,4,0,72,13.9,,,bjugssc01
39,Mike Blaisdell,28,TOR,RW,18,3,2,5,-5,2,0.0,3,0,0,1,2,0,0,32,9.4,,,blaismi01
40,John Blum,28,BOS,D,19,0,1,1,-5,70,0.5,0,0,0,0,1,0,0,6,0.0,,,blumjo01
41,Bob Bodak,26,CGY,LW,3,0,0,0,-2,22,-0.2,0,0,0,0,0,0,0,0,,,,bodakbo01
42,Doug Bodger,21,PIT,D,69,14,31,45,-4,103,5.5,1,13,0,1,11,20,0,184,7.6,,,bodgedo01
43,Rick Boh,23,MNS,C,8,2,1,3,1,4,0.2,2,0,0,0,1,0,0,8,25.0,,,bohri01
44,Serge Boisvert,28,MTL,RW,5,1,1,2,0,2,0.1,1,0,0,0,1,0,0,5,20.0,,,boisvse01
45,Laurie Boschman,27,WIN,C,80,25,23,48,-24,229,2.8,14,10,1,3,13,10,0,166,15.1,,,boschla01
46,Tim Bothwell,32,STL,D,78,6,13,19,6,76,4.7,6,0,0,1,13,0,0,88,6.8,,,bothwti01
47,Charlie Bourgeois,28,TOT,D,31,0,1,1,-3,78,0.9,0,0,0,0,1,0,0,9,0.0,,,bourgch01
47,Charlie Bourgeois,28,STL,D,30,0,1,1,-2,78,0.9,0,0,0,0,1,0,0,9,0.0,,,bourgch01
47,Charlie Bourgeois,28,HAR,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,,,bourgch01
48,Bob Bourne,33,LAK,C,72,7,11,18,-31,28,-0.8,6,1,0,1,6,3,2,75,9.3,,,bournbo01
49,Phil Bourque,25,PIT,D,21,4,12,16,3,20,2.1,2,2,0,1,4,8,0,56,7.1,,,bourqph01
50,Ray Bourque*,27,BOS,D,78,17,64,81,34,72,11.7,9,7,1,5,37,27,0,344,4.9,,,bourqra01
51,Paul Boutilier,24,TOT,D,10,0,1,1,-3,12,0.2,0,0,0,0,0,1,0,9,0.0,,,boutipa01
51,Paul Boutilier,24,WIN,D,6,0,0,0,-2,6,0.1,0,0,0,0,0,0,0,6,0.0,,,boutipa01
51,Paul Boutilier,24,NYR,D,4,0,1,1,-1,6,0.2,0,0,0,0,0,1,0,3,0.0,,,boutipa01
52,Randy Boyd,26,VAN,D,60,7,16,23,-9,64,3.6,5,2,0,1,9,7,0,85,8.2,,,boydra01
53,Steve Bozek,27,TOT,LW,33,3,7,10,-5,14,-0.2,2,0,1,0,7,0,0,43,7.0,,,bozekst01
53,Steve Bozek,27,CGY,LW,26,3,7,10,-3,12,0.0,2,0,1,0,7,0,0,37,8.1,,,bozekst01
53,Steve Bozek,27,STL,LW,7,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,6,0.0,,,bozekst01
54,Brian Bradley,23,VAN,C,11,3,5,8,-3,6,0.5,3,0,0,0,1,4,0,26,11.5,,,bradlbr01
55,Andy Brickley,26,NJD,LW,45,8,14,22,1,14,1.1,5,2,1,3,11,2,1,61,13.1,,,brickan01
56,Mel Bridgman,32,DET,LW,57,6,11,17,4,42,0.2,6,0,0,1,11,0,0,40,15.0,,,bridgme01
57,Bob Brooke,27,MNS,RW,77,5,20,25,-6,108,0.3,3,1,1,1,11,8,1,127,3.9,,,brookbo01
58,Aaron Broten,27,NJD,LW,80,26,57,83,20,80,6.6,17,7,2,4,32,24,1,180,14.4,,,broteaa01
59,Neal Broten,28,MNS,C,54,9,30,39,-23,32,1.7,4,4,1,0,14,16,0,121,7.4,,,brotene01
60,Dave Brown,25,PHI,RW,47,12,5,17,10,114,1.2,12,0,0,4,5,0,0,41,29.3,,,brownda01
61,Doug Brown,23,NJD,RW,70,14,11,25,7,20,1.3,9,1,4,2,9,1,1,112,12.5,,,browndo01
62,Jeff Brown,21,QUE,D,78,16,36,52,-25,64,6.1,7,9,0,4,11,24,1,208,7.7,,,brownje02
63,Keith Brown,27,CHI,D,24,3,6,9,5,45,1.8,3,0,0,1,4,2,0,39,7.7,,,brownke02
64,Rob Brown,19,PIT,RW,51,24,20,44,8,56,3.9,11,13,0,1,18,2,0,80,30.0,,,brownro01
65,Jeff Brubaker,29,NYR,LW,31,2,0,2,0,78,-0.4,2,0,0,0,0,0,0,9,22.2,,,brubaje01
66,David Bruce,23,VAN,RW,28,7,3,10,-6,57,0.5,6,1,0,0,2,1,0,46,15.2,,,bruceda01
67,Murray Brumwell,27,NJD,D,3,0,1,1,0,2,0.2,0,0,0,0,1,0,0,4,0.0,,,brumwmu01
68,Kelly Buchberger,21,EDM,LW,19,1,0,1,-1,81,-0.5,1,0,0,0,0,0,0,10,10.0,,,buchbke01
69,Randy Bucyk,25,CGY,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,,,bucykra01
70,Mike Bullard,26,CGY,C,79,48,55,103,25,68,9.3,27,21,0,3,29,26,0,230,20.9,,,bullami01
71,Shawn Burr,21,DET,C,78,17,23,40,7,97,2.3,9,5,3,3,19,2,2,124,13.7,,,burrsh01
72,Randy Burridge,22,BOS,LW,79,27,28,55,0,105,4.0,19,5,3,3,20,7,1,159,17.0,,,burrira01
73,Rod Buskas,27,PIT,D,76,4,8,12,6,206,3.0,4,0,0,1,7,1,0,53,7.5,,,buskaro01
74,Garth Butcher,25,VAN,D,80,6,17,23,-14,285,3.8,5,1,0,0,8,7,2,77,7.8,,,butchga01
75,Lyndon Byers,23,BOS,RW,53,10,14,24,10,236,1.4,10,0,0,2,14,0,0,69,14.5,,,byersly01
76,Jock Callander,26,PIT,RW,41,11,16,27,-13,45,1.3,7,4,0,1,9,7,0,59,18.6,,,callajo01
77,Wade Campbell,27,BOS,D,6,0,1,1,1,21,0.3,0,0,0,0,1,0,0,3,0.0,,,campbwa01
78,Guy Carbonneau*,27,MTL,C,80,17,21,38,14,61,2.4,14,0,3,1,19,0,2,109,15.6,,,carbogu01
79,Terry Carkner,21,QUE,D,63,3,24,27,-8,159,3.8,1,2,0,1,8,16,0,54,5.6,,,carknte01
80,Anders Carlsson,27,NJD,C,9,1,0,1,-5,0,-0.2,1,0,0,0,0,0,0,6,16.7,,,carlsan01
81,Randy Carlyle,31,WIN,D,78,15,44,59,-20,210,6.8,7,8,0,1,12,30,2,165,9.1,,,carlyra01
82,Bobby Carpenter,24,LAK,LW,71,19,33,52,-21,84,2.9,9,10,0,2,20,11,2,176,10.8,,,carpebo01
83,Jimmy Carson,19,LAK,C,80,55,52,107,-19,45,9.4,33,22,0,7,26,26,0,264,20.8,,,carsoji01
84,Lindsay Carson,27,TOT,LW,63,7,11,18,-4,67,0.3,5,1,1,1,9,2,0,73,9.6,,,carsoli01
84,Lindsay Carson,27,PHI,C,36,2,7,9,-4,37,-0.2,2,0,0,0,5,2,0,34,5.9,,,carsoli01
84,Lindsay Carson,27,HAR,LW,27,5,4,9,0,30,0.5,3,1,1,1,4,0,0,39,12.8,,,carsoli01
85,John Carter,24,BOS,LW,4,0,1,1,3,2,0.1,0,0,0,0,1,0,0,8,0.0,,,cartejo01
86,Bruce Cassidy,22,CHI,D,21,3,10,13,-3,6,1.5,1,2,0,0,5,5,0,46,6.5,,,cassibr01
87,Jay Caufield,27,MNS,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,caufija01
88,Gino Cavallini,25,STL,LW,64,15,17,32,-4,62,1.8,12,2,1,3,15,2,0,131,11.5,,,cavalgi01
89,Paul Cavallini,22,TOT,D,72,6,10,16,7,152,4.6,5,1,0,1,10,0,0,71,8.5,,,cavalpa01
89,Paul Cavallini,22,STL,D,48,4,7,11,7,86,3.0,3,1,0,0,7,0,0,53,7.5,,,cavalpa01
89,Paul Cavallini,22,WSH,D,24,2,3,5,0,66,1.5,2,0,0,1,3,0,0,18,11.1,,,cavalpa01
90,John Chabot,25,DET,C,78,13,44,57,12,10,3.4,11,0,2,0,32,8,4,83,15.7,,,chabojo01
91,Shawn Chambers,21,MNS,D,19,1,7,8,-6,21,0.9,0,1,0,0,5,2,0,28,3.6,,,chambsh01
92,José Charbonneau,21,MTL,RW,16,0,2,2,1,6,-0.2,0,0,0,0,2,0,0,22,0.0,,,charbjo01
93,Todd Charlesworth,22,PIT,D,6,2,0,2,0,2,0.4,2,0,0,0,0,0,0,4,50.0,,,charlto01
94,Chris Chelios*,26,MTL,D,71,20,41,61,14,172,9.0,9,10,1,5,26,14,1,199,10.1,,,chelich01
95,Rich Chernomaz,24,CGY,RW,2,1,0,1,1,0,0.1,1,0,0,0,0,0,0,5,20.0,,,chernri01
96,Steve Chiasson,20,DET,D,29,2,9,11,15,57,2.5,2,0,0,0,6,2,1,45,4.4,,,chiasst01
97,Dave Christian,28,WSH,RW,80,37,21,58,-14,26,4.8,23,14,0,5,12,9,0,187,19.8,,,chrisda01
98,Shane Churla,22,TOT,RW,31,1,5,6,1,146,-0.4,1,0,0,0,5,0,0,15,6.7,,,churlsh01
98,Shane Churla,22,CGY,RW,29,1,5,6,2,132,-0.4,1,0,0,0,5,0,0,15,6.7,,,churlsh01
98,Shane Churla,22,HAR,RW,2,0,0,0,-1,14,-0.1,0,0,0,0,0,0,0,0,,,,churlsh01
99,Jeff Chychrun,21,PHI,D,3,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,1,0.0,,,chychje01
100,Dino Ciccarelli*,27,MNS,RW,67,41,45,86,-29,79,7.0,27,13,1,2,23,21,1,262,15.6,,,ciccadi01
101,Chris Cichocki,24,NJD,RW,5,1,0,1,1,2,0.1,1,0,0,0,0,0,0,2,50.0,,,cichoch01
102,Joe Cirella,24,NJD,D,80,8,31,39,15,191,6.7,6,2,0,2,17,12,2,135,5.9,,,cireljo01
103,Wendel Clark,21,TOR,LW,28,12,11,23,-13,80,1.5,8,4,0,1,7,4,0,93,12.9,,,clarkwe01
104,Glen Cochrane,30,CHI,D,73,1,8,9,-7,204,2.2,1,0,0,0,8,0,0,21,4.8,,,cochrgl01
105,Paul Coffey*,26,PIT,D,46,15,52,67,-1,93,6.9,7,6,2,2,14,36,2,193,7.8,,,coffepa01
106,Pat Conacher,28,NJD,C,24,2,5,7,8,12,0.3,2,0,0,0,5,0,0,22,9.1,,,conacpa01
107,Yvon Corriveau,20,WSH,LW,44,10,9,19,17,84,1.6,10,0,0,1,9,0,0,52,19.2,,,corriyv01
108,Shayne Corson,21,MTL,C,71,12,27,39,22,152,2.6,10,2,0,2,25,2,0,90,13.3,,,corsosh01
109,Alain Côté,30,QUE,RW,76,4,18,22,3,26,0.2,4,0,0,0,15,1,2,84,4.8,,,coteal01
110,Alain Côté,20,BOS,D,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,1,0.0,,,coteal02
111,Sylvain Côté,22,HAR,D,67,7,21,28,-8,30,5.3,6,0,1,0,13,5,3,142,4.9,,,cotesy01
112,Neal Coulter,25,NYI,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,,,coultne01
113,Geoff Courtnall,25,TOT,LW,74,36,30,66,25,123,6.2,28,8,0,5,23,7,0,252,14.3,,,courtge01
113,Geoff Courtnall,25,BOS,LW,62,32,26,58,24,108,5.7,24,8,0,4,19,7,0,220,14.5,,,courtge01
113,Geoff Courtnall,25,EDM,LW,12,4,4,8,1,15,0.5,4,0,0,1,4,0,0,32,12.5,,,courtge01
114,Russ Courtnall,22,TOR,C,65,23,26,49,-16,47,3.2,14,6,3,1,16,10,0,212,10.8,,,courtru01
115,Craig Coxe,24,TOT,C,71,7,15,22,2,218,0.5,6,1,0,1,14,1,0,48,14.6,,,coxecr01
115,Craig Coxe,24,VAN,C,64,5,12,17,-1,186,0.1,4,1,0,1,11,1,0,43,11.6,,,coxecr01
115,Craig Coxe,24,CGY,C,7,2,3,5,3,32,0.4,2,0,0,0,3,0,0,5,40.0,,,coxecr01
116,Murray Craven,23,PHI,LW,72,30,46,76,25,58,6.6,22,6,2,2,26,17,3,184,16.3,,,cravemu01
117,Adam Creighton,22,BUF,C,36,10,17,27,7,87,2.0,6,4,0,1,15,2,0,61,16.4,,,creigad01
118,Doug Crossman,27,PHI,D,76,9,29,38,-1,43,5.5,3,6,0,0,17,11,1,153,5.9,,,crossdo01
119,Keith Crowder,29,BOS,RW,68,17,26,43,14,173,3.1,11,6,0,3,19,7,0,123,13.8,,,crowdke01
120,Randy Cunneyworth,26,PIT,LW,71,35,39,74,13,141,6.5,21,14,0,6,23,15,1,229,15.3,,,cunnera01
121,Brian Curran,24,TOT,D,29,0,2,2,-6,87,0.5,0,0,0,0,2,0,0,13,0.0,,,currabr01
121,Brian Curran,24,NYI,D,22,0,1,1,-9,68,0.1,0,0,0,0,1,0,0,12,0.0,,,currabr01
121,Brian Curran,24,TOR,D,7,0,1,1,3,19,0.4,0,0,0,0,1,0,0,1,0.0,,,currabr01
122,Glen Currie,29,LAK,C,7,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,3,0.0,,,currigl01
123,Paul Cyr,24,TOT,LW,60,5,14,19,-7,79,0.1,2,1,2,1,12,2,0,92,5.4,,,cyrpa01
123,Paul Cyr,24,NYR,LW,40,4,13,17,-5,41,0.4,2,1,1,0,11,2,0,72,5.6,,,cyrpa01
123,Paul Cyr,24,BUF,LW,20,1,1,2,-2,38,-0.4,0,0,1,1,1,0,0,20,5.0,,,cyrpa01
124,Ulf Dahlén,21,NYR,RW,70,29,23,52,5,26,4.3,18,11,0,4,15,8,0,159,18.2,,,dahleul01
125,Kjell Dahlin,24,MTL,RW,48,13,12,25,5,6,1.7,11,2,0,2,9,3,0,51,25.5,,,dahlikj01
126,Chris Dahlquist,25,PIT,D,44,3,6,9,3,69,1.9,3,0,0,0,5,1,0,35,8.6,,,dahlqch01
127,J.J. Daigneault,22,PHI,D,28,2,2,4,-8,12,0.8,0,2,0,0,2,0,0,20,10.0,,,daignjj01
128,Brad Dalgarno,20,NYI,RW,38,2,8,10,4,58,-0.1,2,0,0,1,7,1,0,39,5.1,,,dalgabr01
129,Marty Dallman,24,TOR,RW,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0.0,,,dallmma01
130,Rod Dallman,21,NYI,LW,3,1,0,1,1,6,0.1,1,0,0,0,0,0,0,2,50.0,,,dallmro01
131,Vincent Damphousse,20,TOR,LW,75,12,36,48,2,40,2.5,11,1,0,2,30,6,0,111,10.8,,,damphvi01
132,Ken Daneyko,23,NJD,D,80,5,7,12,-3,239,3.5,4,1,0,0,6,0,1,82,6.1,,,daneyke01
133,Dan Daoust,27,TOR,C,67,9,8,17,-7,57,0.0,9,0,0,1,8,0,0,57,15.8,,,daousda01
134,Michael Dark,24,STL,RW,30,3,6,9,6,12,0.3,3,0,0,1,6,0,0,27,11.1,,,darkmi01
135,Lucien DeBlois,30,NYR,C,74,9,21,30,-3,103,1.0,7,2,0,0,18,3,0,99,9.1,,,deblolu01
136,Dale DeGray,24,TOR,D,56,6,18,24,4,63,3.6,5,1,0,1,6,10,2,122,4.9,,,degrada01
137,Gilbert Delorme,25,DET,D,55,2,8,10,9,81,2.7,2,0,0,0,7,0,1,46,4.3,,,delorgi01
138,Larry DePalma,22,MNS,LW,7,1,1,2,-2,15,0.0,1,0,0,0,1,0,0,8,12.5,,,depalla01
139,Gerald Diduck,22,NYI,D,68,7,12,19,22,113,4.9,3,4,0,1,8,4,0,128,5.5,,,diducge01
140,Gord Dineen,25,TOT,D,70,5,13,18,4,83,3.8,4,1,0,0,11,2,0,56,8.9,,,dineego01
140,Gord Dineen,25,NYI,D,57,4,12,16,9,62,3.4,3,1,0,0,10,2,0,50,8.0,,,dineego01
140,Gord Dineen,25,MNS,D,13,1,1,2,-5,21,0.3,1,0,0,0,1,0,0,6,16.7,,,dineego01
141,Kevin Dineen,24,HAR,RW,74,25,25,50,-14,217,3.7,20,5,0,4,13,11,1,223,11.2,,,dineeke01
142,Marcel Dionne*,36,NYR,C,67,31,34,65,-14,54,4.9,9,22,0,4,12,22,0,184,16.8,,,dionnma01
143,Robert Dirk,21,STL,D,7,0,1,1,0,16,0.3,0,0,0,0,1,0,0,2,0.0,,,dirkro01
144,Brian Dobbin,21,PHI,RW,21,3,5,8,-1,6,0.2,3,0,0,1,3,2,0,15,20.0,,,dobbibr01
145,Bobby Dollas,23,QUE,D,9,0,0,0,-4,2,0.1,0,0,0,0,0,0,0,5,0.0,,,dollabo01
146,Dave Donnelly,25,EDM,C,4,0,0,0,0,4,-0.1,0,0,0,0,0,0,0,3,0.0,,,donneda01
147,Gord Donnelly,25,QUE,RW,63,4,3,7,-16,301,-1.1,3,1,0,0,2,1,0,46,8.7,,,donnego01
148,Mike Donnelly,24,TOT,LW,57,8,10,18,-6,52,0.3,8,0,0,0,8,2,0,99,8.1,,,donnemi01
148,Mike Donnelly,24,BUF,LW,40,6,8,14,-1,44,0.4,6,0,0,0,6,2,0,69,8.7,,,donnemi01
148,Mike Donnelly,24,NYR,LW,17,2,2,4,-5,8,-0.1,2,0,0,0,2,0,0,30,6.7,,,donnemi01
149,Dan Dorion,24,NJD,RW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,,,dorioda01
150,Peter Douris,21,WIN,RW,4,0,2,2,-1,0,0.0,0,0,0,0,2,0,0,2,0.0,,,douripe01
151,Bruce Driver,25,NJD,D,74,15,40,55,7,68,7.8,8,7,0,0,13,27,0,190,7.9,,,drivebr01
152,Gaétan Duchesne,25,QUE,LW,80,24,23,47,8,83,3.5,19,4,1,2,18,4,1,138,17.4,,,duchega01
153,Steve Duchesne,22,LAK,D,71,16,39,55,0,109,6.6,11,5,0,4,26,13,0,190,8.4,,,duchest01
154,Ken Duggan,24,MNS,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,duggake01
155,Ron Duguay,30,TOT,C,63,6,10,16,-14,40,-0.3,4,0,2,1,8,2,0,80,7.5,,,duguaro01
155,Ron Duguay,30,NYR,RW,48,4,4,8,-9,23,-0.5,2,0,2,0,3,1,0,59,6.8,,,duguaro01
155,Ron Duguay,30,LAK,C,15,2,6,8,-5,17,0.2,2,0,0,1,5,1,0,21,9.5,,,duguaro01
156,Iain Duncan,24,WIN,LW,62,19,23,42,-2,73,3.0,15,4,0,4,18,5,0,104,18.3,,,duncaia01
157,Craig Duncanson,20,LAK,LW,9,0,0,0,-5,12,-0.4,0,0,0,0,0,0,0,8,0.0,,,duncacr01
158,Richie Dunn,30,BUF,D,12,2,0,2,-7,8,0.2,2,0,0,0,0,0,0,19,10.5,,,dunnri01
159,Steve Dykstra,25,TOT,D,42,3,4,7,1,130,1.7,3,0,0,0,4,0,0,26,11.5,,,dykstst01
159,Steve Dykstra,25,BUF,D,27,1,1,2,0,91,0.9,1,0,0,0,1,0,0,11,9.1,,,dykstst01
159,Steve Dykstra,25,EDM,D,15,2,3,5,1,39,0.8,2,0,0,0,3,0,0,15,13.3,,,dykstst01
160,Mike Eagles,24,QUE,LW,76,10,10,20,-18,74,-0.1,7,1,2,2,10,0,0,89,11.2,,,eaglemi01
161,Murray Eaves,27,DET,C,7,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,4,0.0,,,eavesmu01
162,Pelle Eklund,24,PHI,C,71,10,32,42,-6,12,1.8,8,2,0,2,15,17,0,101,9.9,,,eklunpe01
163,Dave Ellett,23,WIN,D,68,13,45,58,-8,106,7.0,8,5,0,1,12,31,2,198,6.6,,,elletda01
164,Pat Elynuik,20,WIN,RW,13,1,3,4,2,12,0.1,1,0,0,0,3,0,0,12,8.3,,,elynupa01
