Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
1978-79,18,TOT,WHA,80,46,64,110,20,19,37,9,0,,,,,270,17.0,,,ASW-2Kaplan-1
1978-79,18,INR,WHA,8,3,3,6,-3,0,3,0,0,,,,,17,17.6,,,ASW-2Kaplan-1
1978-79,18,EDO,WHA,72,43,61,104,23,19,34,9,0,,,,,253,17.0,,,ASW-2Kaplan-1
1979-80,19,EDM,NHL,79,51,86,137,14,21,37,13,1,6,63,22,1,284,18.0,,,AS-2Byng-1Hart-1
1980-81,20,EDM,NHL,80,55,109,164,41,28,36,15,4,3,68,38,3,261,21.1,,,AS-1Byng-2Hart-1Ross-1
1981-82,21,EDM,NHL,80,92,120,212,80,26,68,18,6,12,79,39,2,370,24.9,,,AS-1Byng-3Hart-1Pearson-1Ross-1
1982-83,22,EDM,NHL,80,71,125,196,61,59,47,18,6,9,85,36,4,348,20.4,,,AS-1Byng-5Hart-1Pearson-1Ross-1
1983-84,23,EDM,NHL,74,87,118,205,78,39,55,20,12,11,80,27,11,326,26.7,,,AS-1Byng-6Hart-1Pearson-1Ross-1
1984-85,24,EDM,NHL,80,73,135,208,100,52,54,8,11,7,92,36,7,354,20.6,,,AS-1Byng-15Hart-1Pearson-1Ross-1Selke-25Smythe-1
1985-86,25,EDM,NHL,80,52,163,215,71,46,38,11,3,6,105,43,15,350,14.9,,,AS-1Byng-7Hart-1Ross-1Selke-24
1986-87,26,EDM,NHL,79,62,121,183,69,28,42,13,7,4,82,33,6,288,21.5,,,AS-1Byng-2Hart-1Pearson-1Ross-1
1987-88,27,EDM,NHL,64,40,109,149,39,24,26,9,5,3,65,40,4,211,19.0,,,AS-2Byng-2Hart-3Smythe-1
1988-89,28,LAK,NHL,78,54,114,168,15,26,38,11,5,5,62,42,10,303,17.8,,,AS-2Byng-2Hart-1
1989-90,29,LAK,NHL,73,40,102,142,8,42,26,10,4,4,70,30,2,236,16.9,,,AS-2Byng-2Hart-4Ross-1Selke-26
1990-91,30,LAK,NHL,78,41,122,163,30,16,33,8,0,5,70,51,1,212,19.3,,,AS-1Byng-1Hart-2Ross-1
1991-92,31,LAK,NHL,74,31,90,121,-12,34,17,12,2,2,46,42,2,215,14.4,,,AS-3Byng-1
1992-93,32,LAK,NHL,45,16,49,65,6,6,14,0,2,1,24,24,1,141,11.3,,,Byng-14
1993-94,33,LAK,NHL,81,38,92,130,-25,20,20,14,4,0,42,47,3,233,16.3,,,AS-2Byng-1Ross-1
1994-95,34,LAK,NHL,48,11,37,48,-20,6,8,3,0,1,15,19,3,142,7.7,,,
1995-96,35,TOT,NHL,80,23,79,102,-13,34,16,6,1,3,38,41,0,195,11.8,,,Byng-15
1995-96,35,LAK,NHL,62,15,66,81,-7,32,10,5,0,2,34,32,0,144,10.4,,,Byng-15
1995-96,35,STL,NHL,18,8,13,21,-6,2,6,1,1,1,4,9,0,51,15.7,,,Byng-15
1996-97,36,NYR,NHL,82,25,72,97,12,28,19,6,0,2,46,25,1,286,8.7,,,AS-2Byng-5Hart-15
1997-98,37,NYR,NHL,82,23,67,90,-11,28,17,6,0,4,43,24,0,201,11.4,1756,21:25,AS-2Byng-3Hart-5
1998-99,38,NYR,NHL,70,9,53,62,-23,14,6,3,0,3,26,27,0,132,6.8,1475,21:04,Byng-1